,0
f0,0.0
f1,0.0
f2,0.0
f3,-0.10849204556941004
f4,-0.15596682952855154
f5,0.004041140910094671
f6,-0.1769127532124496
f7,-0.3386459715373241
f8,-0.005630301727258444
f9,-0.20532618868072347
f10,-0.49085312692477845
f11,-0.032659249856181766
f12,-0.1933625423003785
f13,-0.6138817859520133
f14,-0.058136303123592505
f15,-0.06910041463012546
f16,-0.5558401051621744
f17,0.061076252395769394
f18,-0.09689291188469575
f19,-0.7829434479804569
f20,0.019335284105530596
f21,-0.14102602948467566
f22,-0.8776941331128372
f23,-0.021326130788796804
f24,-0.1689359613194169
f25,-0.9310512415521922
f26,-0.04774276763189126
f27,-0.017072305336898633
f28,-0.5550527674536657
f29,0.02303020040590596
f30,-0.04705022587174608
f31,-0.7907524214471197
f32,-0.029268679429916542
f33,-0.1068657689917128
f34,-0.815191829693797
f35,-0.06791843431753651
f36,-0.14076677769251641
f37,-0.797619969054355
f38,-0.08411700863537536
f39,0.025049957004913696
f40,-0.5205579840715362
f41,-0.023473990113999504
f42,-0.011061520233346618
f43,-0.7034367487257579
f44,-0.07448386288255372
f45,-0.08106543827496715
f46,-0.6598831369910441
f47,-0.08354116982158963
f48,-0.11955404216852501
f49,-0.5947786488295618
f50,-0.07636106609505065
f51,0.05743829517836847
f52,-0.46288334885690513
f53,-0.07215126271813703
f54,0.017346652106214527
f55,-0.6040871641441118
f56,-0.10475109551472832
f57,-0.0414612645274503
f58,-0.5847025769220292
f59,-0.10004493140810508
f60,-0.07950254823191362
f61,-0.5435092481343751
f62,-0.08809161787499907
