,0
f0,1.0
f1,1.0
f2,1.0
f3,0.09151208671109148
f4,0.04399784738022699
f5,0.07931243629327736
f6,0.13105463392458488
f7,0.06047983363633356
f8,0.11195844596877243
f9,0.16012243665388046
f10,0.07853979925626467
f11,0.12654488110536483
f12,0.18077987888291536
f13,0.11403805302978592
f14,0.13883015299454143
f15,0.08050010950504309
f16,0.07839571371177916
f17,0.1410473624422306
f18,0.08605456957762188
f19,0.08674751803143796
f20,0.1649400827337462
f21,0.1119269149965953
f22,0.044531866342382556
f23,0.16560105851859816
f24,0.13771030933757059
f25,0.07455351195999568
f26,0.16590458164267485
f27,0.06019969316130908
f28,0.09248687505873066
f29,0.10768377266635376
f30,0.07119395901943928
f31,0.13527544701341718
f32,0.13942631705209368
f33,0.11034874728040668
f34,0.1880098258261955
f35,0.13313947409856666
f36,0.144886381453108
f37,0.24475826731829614
f38,0.12430485783099833
f39,0.08508059626066328
f40,0.11779785260094812
f41,0.07495417314093714
f42,0.10074373580297924
f43,0.20451913782622327
f44,0.10894859604940747
f45,0.11511227117663395
f46,0.2772015741427702
f47,0.10207580774632045
f48,0.13777022732766525
f49,0.30569914744195315
f50,0.09208547368869473
f51,0.12458874189859909
f52,0.14874723231528772
f53,0.05534332175489075
f54,0.13212353005696623
f55,0.22919622466585124
f56,0.07922564662754696
f57,0.1382951167627002
f58,0.2944003647955129
f59,0.08343182704399041
f60,0.15553803910685665
f61,0.3206934300315005
f62,0.08482571620868495
